product_parent_option_id,product_id,option_name
310,104,맞춤케이스제작건
311,104,뒷커버하단체인
312,104,스마트톡추가
313,105,사이즈
314,105,컬러
315,105,사이즈
316,106,구성
317,106,색상
318,106,얼굴드로잉
319,107,채색
320,107,의상패턴
321,107,배경
322,108,소품
323,108,그림에 넣을 글
324,108,컬러선택
325,109,led무드등
326,109,포장
327,109,진주파츠추가
328,110,탄생석추가
329,110,브로콜리?
330,110,타입및 크키
331,111,컬러
332,111,추가옵션
333,111,사이즈
334,112,색상
335,112,내 피부같은 팬티♡
336,112,색상
337,113,크기
338,113,뚜껑
339,113,바크 종류
340,114,옵션1
341,114,날짜
342,114,공지사항
343,115,튤립컬러
344,115,레터링글씨체
345,115,픽추가
346,116,맛선택
347,116,향기 선택
348,116,시향테스터
349,117,세이리 쇼핑백
350,117,얼굴
351,117,상반신
352,118,전신
353,118,인물 추가
354,118,남자 반지 호수
355,119,여자 반지 호수
356,119,색상
357,119,각인
358,120,추가구매
359,120,포장
360,120,고양이색상 선택
361,121,술잔 4개세트
362,121,체인길이
363,121,연장체인추가
364,122,하트포인트 유무
365,122,체크파우치 포장추가
366,122,네트파우치
367,123,어깨 끈 추가
368,123,가죽컬러
369,123,이니셜 각인선택
370,124,손가락 스트랩
371,124,채색
372,124,챰 선택
373,125,키링 종류
374,125,사이즈
375,125,키링만 1개 추가
376,126,챰 추가
377,126,악세서리 추가
378,126,그림 인원 수
379,127,상업이용
380,127,요청사항에 메일주소
381,127,후기 이벤트
382,128,컬러
383,128,별사이즈선택
384,128,바두께&마감볼
385,129,바길이
386,129,사이즈
387,129,고리추가
388,130,선물포장
389,130,마산옥 사이즈
390,130,청사금석 사이즈
391,131,사이즈
392,131,팔찌선택
393,131,선물상자
394,132,리본컬러
395,132,CHECK♥
396,132,2개 이상 구입시
397,133,사은품
398,133,스콘
399,133,색상
400,134,고리
401,134,포장
402,134,밍크추가
403,135,거울 타입
404,135,폰트
405,135,레터링 색상
406,136,멘트
407,136,색상
408,136,컬러
409,137,옵션
410,137,사진 속 인원선택
411,137,드로잉스타일
412,138,제공받을 사이즈
413,138,원하시는 문구
414,138,배경 드로잉
415,139,팬던트
416,139,비녀대길이
417,139,베스트
418,140,조화종류
419,140,용량선택
420,140,향선택
421,141,옵션1
422,141,비누망
423,141,포장
424,142,사이즈
425,142,색상타입
426,142,연결고리
427,143,포장
428,143,각인문구
429,143,각인메세지
430,144,선물포장
431,144,일러스트 종류
432,144,케이스 종류
433,145,기종 & 색상
434,145,색상
435,145,사이즈
436,146,컬러
437,146,종류
438,146,컬러
439,147,송이추가
440,147,사이즈
441,147,발등/발볼
442,148,메세지선택
443,148,배송
444,148,롤솜사탕
445,149,생초콜릿
446,149,포장선택
447,149,온하클렌즈주스
448,150,트러플 초콜릿
449,150,포장
450,150,쇼핑백
451,151,"컬러,크기"
452,151,기종
453,151,자개 크기
454,152,체인 줄
455,152,각인
456,152,데이지장식
457,153,엽서 인원 수
458,153,엽서 디자인
459,153,엽서 뒷면 디자인
460,154,글씨체
461,154,추가해드릴까요
462,154,빠른배송or일반배송
463,155,아크릴액자
464,155,인물 수
465,155,문구/배경
466,156,발송일
467,156,비누받침
468,156,색상선택
469,157,size
470,157,color
471,157,scent
472,158,쇼핑백
473,158,옵션
474,158,사탕맛
475,159,포장선택
476,159,주방용집게
477,159,택배사선택
478,160,몇 명인가요!
479,160,소품은요?
480,160,그림 범위 (?)
481,161,배경은요?!
482,161,천연탄생석선택
483,161,사이즈선택
484,162,반지색상선택
485,162,반지금속선택
486,162,각인선택
487,163,찻잔컬러
488,163,색상
489,163,사이즈 선택해주세요
490,164,프리지아
491,164,추가상품
492,164,이날부터 발송됩니다
493,165,세트구성
494,165,문구선택
495,165,포장선택
496,166,무항생제 삼겹살
497,166,기름기 정도
498,166,맛
499,167,선물포장
500,167,쇼핑백 추가
501,167,인원 수
502,168,채색
503,168,편지지 방향
504,168,선 스타일
505,169,스티커
506,169,봉투
507,169,선택1
508,170,선택2
509,170,선택3-선택안함포함
510,170,옵션1
511,171,카드지갑+스트랩
512,171,각인여부
513,171,스트랩사이즈
514,172,선물박스추가
515,172,인원 수
516,172,그림 구도
517,173,배경
518,173,상업적 이용 여부
519,173,상세 내용 확인
520,174,8구/16구
521,174,선물용비닐쇼핑백
522,174,배송일 확인
523,175,스티커
524,175,반지 호수
525,175,안쪽 각인
526,176,사이즈
527,176,확인사항
528,176,팁모양
529,177,사이즈
530,177,샘플팁
531,177,추가: 테이프
532,178,추가: 네일글루
533,178,추가: 알콜패드
534,178,페스토 종류 선택
535,179,아이스박스선택
536,179,포장
537,179,방울 Color
538,180,방울 Size
539,180,초커
540,180,방울소리
541,181,길이 연장
542,181,구매 전 확인사항
543,181,글씨체
544,182,선물포장
545,182,받침대상판각인
546,182,색상
547,183,자수추가
548,183,복권구성
549,183,편지복권디자인선택
550,184,보너스복권디자인선택
551,184,시안확인
552,184,사이즈
553,185,용량
554,185,꽃차선택
555,185,쇼핑백(소)
556,186,컬러선택
557,186,배송료
558,186,스마트톡 바디색상
559,187,강아지 색상
560,187,볼터치 여부
561,187,입매
562,188,옵션1
563,188,옵션2
564,188,와인숙성삼겹살
565,189,용량
566,189,향기
567,189,어댑터
568,190,어댑터 색상
569,190,길이 (한쪽당)
570,190,실 색상
571,191,색상
572,191,용량선택
573,191,포장선택
574,192,사이즈
575,192,포장상자
576,192,리뷰이벤트 할인
577,193,서체선택
578,193,서체배치
579,193,아이콘(하트) 위치
580,194,레터링 대소문자
581,194,재질 및 주의사항
