image_id,product_id,image
73,10,https://image.idus.com/image/files/bd4c835d35b340b6a98ccd5463ace6f4_720.jpg
74,10,https://image.idus.com/image/files/abc401bb8f164fb8bb181f936b921b15_720.jpg
75,10,https://image.idus.com/image/files/0cfc01cb62394479a1d3cc2bd9c7f9b2_720.jpg
76,10,https://image.idus.com/image/files/a6b6c004dcaf428db647b8e263444e2b_720.jpg
77,10,https://image.idus.com/image/files/adae12f0cbfe4365bcdf62f93b8fcc84_720.jpg
78,10,https://image.idus.com/image/files/7aca8278f3114068b03d8be2cd56a31f_720.jpg
79,11,https://image.idus.com/image/files/a302157926474f8ea431ac61da6902a6_720.jpg
80,11,https://image.idus.com/image/files/4716c548328b4fa0a87f895bdf6d93c3_720.jpg
81,11,https://image.idus.com/image/files/ea1e0b47c341482b8939ecae05f1efd7_720.jpg
82,11,https://image.idus.com/image/files/64f3f7bd4532457086eefc59f6ea1f07_720.jpg
83,11,https://image.idus.com/image/files/ad1d50a9b1044c4f9510a96b12dec9b1_720.jpg
84,11,https://image.idus.com/image/files/4f165fd10aa0457b8d7ea01b05fda07f_720.jpg
85,11,https://image.idus.com/image/files/9a9717b5d4cd4892b2f29f9d92905876_720.jpg
86,12,https://image.idus.com/image/files/091da9a5596a44a3b94bcac2b8837cef_720.png
87,12,https://image.idus.com/image/files/52dc84969f0f4c3ea04f9f04b69c4ff0_720.png
88,12,https://image.idus.com/image/files/3d69bd57b5e3431fa5eb88e535860b42_720.png
89,12,https://image.idus.com/image/files/b311a252d0ee42438c82770a09857160_720.jpg
90,12,https://image.idus.com/image/files/c1bc0c093c7f4a97a4106709c6ff58d1_720.jpg
91,12,https://image.idus.com/image/files/b3598febc2c241689dca012bd2188135_720.png
92,13,https://image.idus.com/image/files/cb0b1091b3404b6190eb289c171e8e63_720.jpg
93,13,https://image.idus.com/image/files/802ada88b1c847d897b8e1c12f4b3936_720.jpg
94,13,https://image.idus.com/image/files/7b98c28b9d1c4b00a408ea0fc745221f_720.jpg
95,13,https://image.idus.com/image/files/e1e881cd70fd46a387211d0f2429bd00_720.jpg
96,13,https://image.idus.com/image/files/05033d7865f74fa3ba2f0369ddd936ce_720.jpg
97,13,https://image.idus.com/image/files/419e029d8cd34dbb805fabd7c7c5d26a_720.jpg
98,13,https://image.idus.com/image/files/7360ae8b04284e97b0e375ceba0cc1a8_720.jpg
99,13,https://image.idus.com/image/files/1247ed5e7ad646b9828a1e92af71624e_720.jpg
100,13,https://image.idus.com/image/files/5c5a6623825a45a09f64b9bb92d8eb87_720.jpg
101,14,https://image.idus.com/image/files/3d85829c19244dfbad4b8bf2802deccd_720.jpg
102,14,https://image.idus.com/image/files/c117d93bfacd407195a9d347ada421d8_720.jpg
103,14,https://image.idus.com/image/files/489e68602764457ab208e3e97c338807_720.jpg
104,14,https://image.idus.com/image/files/cf947cc8d9a44b4bb8da16dfb41d40d5_720.png
105,14,https://image.idus.com/image/files/72ce74e95b5349cbbe3660bd304b7036_720.png
106,14,https://image.idus.com/image/files/0c01a32f093c4e2c992d0224e56f15af_720.png
107,14,https://image.idus.com/image/files/0b9caf187c884ca7ac7241530f94649f_720.png
108,14,https://image.idus.com/image/files/979ff1f95a6a4bf79f71360db57b30a2_720.png
109,14,https://image.idus.com/image/files/24b71a4a4b704acf84906a16d12a534e_720.png
