review_id,order_detail_id,user_id,product_id,review_content,review_date,review_rate
31,31,3035,4,코스트리카👍🏻 맛나게 잘 마실게요~~ 샘플 감사합니당!,2021-02-18,50
32,32,3036,4,항상 잘마시고 있습니당~!!,2021-02-18,50
33,33,3037,4,,2021-02-18,50
34,34,3038,4,"깔끔하게 포장되어 왔구요 처음 시켜봤는데 맛은 굿굿입니다!!인도씨 넘나 맛 좋아요^^
샘플도 궁금했던 맛이었는데 주셔서 감사합니다!!",2021-02-18,50
35,35,3039,4,바드라 아라비카 진짜 너무 맛있어요ㅜㅜ 브라질.콜롬비아만 먹다가 입맛에 맛있는거 또 찾아서 행복해용,2021-02-18,50
36,36,3040,4,헤이즐넛 향 좋아하는데 디카페인이라 부담없이 즐겨요 뽀너스 아이도 깔끔하니 좋아요,2021-02-18,50
37,37,3041,4,"커피는 개인취향인데 이곳 커피는 진짜 누구나 좋아할만한 커피맛이예요~~
저도 지금 몇통을 먹는지..ㅎㅎ
심지어 처음에는 `어! 내취향이 아니네?` 했던 커피들도 한두잔만 마시다보면 결국 맛있어지는 마법같은 커피라고나할까요?^^
작가님의 열정이 느껴져서 더 그런가봐요~
암튼 저같은 집순이에게는 선물같은 커피랍니다.
믿고 드셔보세요♥",2021-02-17,50
38,38,3042,4,선물해줬습니다,2021-02-17,50
39,39,3043,4,더치는 처음 시켜봤는데 입맛에 잘 맞았어요^^,2021-02-17,50
40,40,3044,4,진짜... 두번째 뱌송받아서 선물햇는데 선물받으시는분이 엄청 좋아했어요!! 구매하면 후회 절대없습니다...!!,2021-02-17,50
41,41,3045,5,"오늘 기사 보고 너무 충격..
설마 부산 아모르가 여긴 아니겠죠ㅠㅠ",2021-02-18,5
42,42,3046,5,맛도 깔끔하구 선물용으로 너무 좋아요^^ 가격도 너무 좋음!!,2021-02-18,50
43,43,3047,5,늘 잘 먹고있습니다^^ 가격대비 최고! 작가님 감사해요,2021-02-18,50
44,44,3048,5,~^^ 맛있어요~^^감사합니다~^^또주문하러올께용,2021-02-18,50
45,45,3049,5, 기사에 났던 그 커피집이네요.실망입니다.,2021-02-18,5
46,46,3050,5,배송 넘 빠르고 맛있어요!!! 세통이나..! 커피값도 줄이고 이득이네유우 많이 파세욭,2021-02-18,50
47,47,3051,5,산미있는거 별로 안좋아해서 만델링이 브라질보다 더 맛있었어요,2021-02-18,50
48,48,3052,5,"일주일 한번 이상은 주문합니다
맛있고 가성비 있어요",2021-02-18,50
49,49,3053,5,커알못이라 ㅎㅎ 디카페인은 약간 시고 제 입맛엔 바닐라가 달달하고 더 좋네요,2021-02-17,50
50,50,3054,5,선물받으신분이 너무좋아해요.,2021-02-17,50
51,51,3055,6,선물할껀데 좋아해 주길 바래봅니다~~~,2021-02-18,50
52,52,3056,6,"오늘 받았어요!! 배송 빠르네욘ㅎㅎㅎ
작두콩차 먼저 마셔봤는데 이거 뭐에요?
왜케 고소해요ㅎㅎㅎ 아 맛있어ㅋㅋㅋ
뜨개질 하면서 커피대신 차 마시려고
주문했어요!! 건강해지려구요ㅎㅎㅎ
향이랑 맛에 까다로운 편이고 처음 먹어보는거라 걱정했는데 아주 좋아요 연근차도 마셔보고 후기 남길께요~! 작두콩차는 다 마시면 떨어지기 전에 무조건 재주문 할 거에요♡",2021-02-18,50
53,53,3057,6,"연근이랑 같이시켰는데
이것도 맛있어용!!",2021-02-18,50
54,54,3058,6,"사진은 없지만
한번 먹어보고서
계속 재주문 하고있네요
지인들도 맛나다해서
함께 나누는 중이구요",2021-02-18,50
55,55,3059,6,진하게 잘 우려져요~^^,2021-02-18,50
56,56,3060,6,,2021-02-17,50
57,57,3061,6,기관지에 좋다기에 사봤는데 일단 향이 넘나 구수하네요! 건강에도 좋지만 맛있어서 계속 먹게되요 ㅋ 꼬숩네 이름값 지대로심~ 굿굿!!,2021-02-16,50
58,58,3062,6,"제가 비염이 있어서 구매하였는데~
빠른배송으로 설날연휴 전에 잘 받았어요~~^^
작가님😊 1~2개를 텀블러에 넣어 구수하게 잘 우려서 매일매일 잘 마시고 있답니다.
코로나 건강조심하세요",2021-02-15,50
59,59,3063,6,매일 물을 끓여 먹는데 1리터에 두개씩 넣으니 딱이네요,2021-02-15,40
60,60,3064,6,,2021-02-14,50
61,61,3065,7,선물용으로 구입했는데 포장이나 제품 모두 맘에 들어요. 하나하나 손상없이 꼼꼼하게 보내주셨네요. 빛깔도 참 예쁘고 맛이 달달해서 기분 좋아지는 꽃차입니다.,2021-02-18,50
62,62,3066,7,정말 너무너무 예뻐요 ㅠㅠ 받자마자 감탄했어요 장미 정말 좋아하는데 좋아하는 꽃을 차로 마실 수 있어서 행복했어요 향도 너무 좋고 지금 탄산을 못 마셔서 따뜻한 물에 타서 마셨는데 맛도 정말 좋아요 ! 할인 하는 거 보구 바로 하나 더 샀어요 :) 선물처럼 힐링이 되어주셔서 감사합니다 🥰 그리고 작은 꽃차도 주셔서 너무너무 감사합니다 다음에도 또 구매할게요 예쁜 날들 가득하시길 바랄게요 ㅎㅎ,2021-02-17,50
63,63,3067,7,배송온지 하루도 안 되었는데 계속 손이 가서 벌써 반이나 마셨어요.. 제가 차를 음미할 줄 몰라서^^;; 잘 안 마셨는데 너무 맛있네요 감사합니다,2021-02-05,50
64,64,3068,7,배송도 빠르고 처음 시켜봤는데 색도 이쁘고 향도 너무 좋고 탄산수에 타서 먹었더니 정말 맛있었어요:),2021-01-31,50
65,65,3069,7,"늘 시켜먹게된 청이에요
다 떨어지면 또 사고 또 사고 그렇게 됐네욯ㅎ
차나 그런 것들보다 훨씬 향이 많이 나고 색도 이뻐서 손님이 오시면 내기도 좋아요 물론 요즘은 집에 누가 찾아올 일이 거의 없으니 다 제 뱃속으로 들어가고 있지만요
엄마랑 한 병씩 나눠서 두병씩 구매해욯",2021-01-27,50
66,66,3070,7,"두번째 주문인데 뚜껑이 너무 헐겁게 열리네요
안 새고 온 게 신기할정도;; 다음엔 좀 신경써 주세요! 
청은 여전히 맛있습니다",2021-01-26,30
67,67,3071,7,"향도 좋고 맛도 좋아요! 
첨에는 모르고 실수로 왕창 넣어서 많이 달았는데 
조금만 넣어도 향 잘 올라오고 적당히 달달새콤해서 맛있어요 ㅎㅎ 따뜻한 차로도 맛있는데 탄산수 넣어서 먹었더니 이것도 넘넘 맛있네요 ㅎㅎ 또 생각날것같아요~~",2021-01-02,50
68,68,3072,7,"늦장후기입니다8ㅁ8. 장미를 닮은 친구에게 장미 청을 선물하였어요. 저는 서비스로 보내주신 레몬 히비스커스를 제일 좋아하는 찻잔에 타 마시고 있습니다:). 정말 너무너무 맛있습니다ㅠ 친구는 탄산수에 먹어봤는데 홍차향이 강하다고 하더라고요. 홍차 덕후인지라 마음에 들어했습니다. ㅎㅎㅎ
레몬 히비스커스를 이제야 먹어보는데 너무 입이 행복해지고 있어요:) 적당히 달달하구 레몬향도 은은하니 너무 좋습니다. 겨울인지라 핫티로 먹고 있어요. 여름이 오면 에이드로 즐기고 싶네요. 좋은 작품 감사합니다 :)",2020-12-24,50
69,69,3073,7,좋아요^^ 덤도주셔서 좋아요♡,2020-12-06,40
70,70,3074,7,"향긋 살짝달달 고급스런 나만마시고 싶은
낭만 비밀레시피로 간직하고 싶네요
감사합니다 
색상은 사람을 홀려요 음~
작가님 마법사인가 살짝의심스러워용 ~~",2020-12-03,50
71,71,3075,8,선물로 보냈는데 만족한 것 같아요.,2021-02-17,50
72,72,3076,8,"맛나요

^^

하나더 주문합니다욧",2021-02-17,50
73,73,3077,8,맛있게 잘 먹었습니다. 또 올께요~^^♥,2021-02-06,45
74,74,3078,8,떨어지기전에 항상 주문해요ㅎ 탄산수에 캬,2021-02-04,50
75,75,3079,8,옴마나 맛있드라구요 진짜 한번 드셔보세요 모히또 좋아하면 꼭 사보세요 진심,2021-01-30,50
76,76,3080,8,"또 먹고픈맛 이에요.
밤마다 한잔하고 있어요.
다행히 안주를 부르는 맛은 아니에요.모히또 먹으레
탄산수를 박스채 샀어요.ㅋㅋㅋ",2021-01-29,50
77,77,3081,8,,2021-01-29,50
78,78,3082,8,차로도 마시고  에이드로도 너무맛있어요~  ,2021-01-27,50
79,79,3083,8,맛있어서 좋았는데 박스가 완전 젖어서 와서 아쉬웠어요,2021-01-22,40
80,80,3084,8,따뜻하게 마셔도 너무 좋아요. 향이 진하고 맛두 좋아서 행복해요ㅎㅎ 금방 다먹을거 같아요. 또 주문하려구요,2021-01-17,50
81,81,3085,9,"주스가 과육함량이 더 많아서 그런가 덜 달고 더 진해서 맛있어요!! 
과육도 씹혀서 우유 타먹으면 라떼느낌나요:-)",2021-02-18,50
82,82,3086,9,"방금 받자마자 한 병 마시고 있네요😁
와 진짜 너무 맛있어요👍🏼
그동안은 청을 먹었는데 딸기주스도 진짜 맛있네요 
오히려 설탕이 안들어가니 딸기 고유의 맛이 잘 느껴져서 너무 좋아요! 
집에서 딸기 갈아서 마시던 맛과 똑같아서 믿음이 가네요😉
다 먹고나면 무조건 재구매 해야겠어요
잘 마실게요 작가님😊",2021-02-18,50
83,83,3087,9,너무 맛있어요! 다음에 또 시켜 먹을게요,2021-01-13,50
84,84,3088,9,맛있대요 금방 다먹었대요,2020-10-15,50
85,85,3089,9,,2020-06-22,50
86,86,3090,9,입맛에 딱 맞고 좋았는데 다음시즌 기대하겠습니다!,2020-06-07,50
87,87,3091,9,신선하고 맛도 좋아서 다음시즌에 다시 구매해보려 합니다,2020-05-27,50
88,88,3092,9,맛있는데 비싼 느낌,2020-05-23,40
89,89,3093,9,맛있어요ㅋㅋ 진짜 생딸기쥬스 같아요,2020-05-22,50
90,90,3094,9,진짜 생딸기를 집에서 갈아먹는 맛이에요 넘 맛있어요 ㅎㅎ,2020-05-20,50
91,91,3095,10,"3천원 새돈으로 지퍼팩에 똭!!
새돈으로보내주시고 정말신경써주시는거같아요
커피맛은 갓내린에스프레소 죽여줍니다",2021-02-18,50
92,92,3096,10,커피중독자인데 진짜 제입에 딱입니다. 넘넘 맛있고 진해서 라떼에 딱입니다,2021-02-17,50
93,93,3097,10,아이스팩추가 안했는데 추워서그런지 샘플로 주문한거 얼어서 왔어요. 크레마가 많아서 신선해보이고 아메리카노먹었는데 엄청맛있다는 아니지만 맛있어요. 설명서도 따로해주시고 3천원도 주시고 감사합니다. 잘마시고 또 주문할께요~,2021-02-17,50
94,94,3098,10,"진짜 진하고 새콤한 딱 설명 그대로 맛이에요~~ 
저는 디카페인이 더 취향이긴 하지만 충분히 맛있습니다!",2021-02-16,50
95,95,3099,10,"너무 맛이 있어서 사진도 못 찍었네요..
잘 마셨습니다.",2021-02-13,50
96,96,3100,10,"와 진짜 커피마신 느낌이에요 디카페인 커피 온라인 판매는 콜드브루밖에 못 봐서 콜드브루만 주문해봤는데 그 특유의 심심한 맛이어서 아쉬웠던 기억이 있습니다 소블링 커피는 에스프레소고 산미도 없고 고소한 풍미가 엄청 강력합니다 우유부단 성격인데 본품 구매의사가 확실합니다 아이스팩 선택 안했는데도 귀요미 아이스팩 두개나 해서 보내주시고, 덕분에 아주 신선한 커피를 마셔봤습니다 감사합니다 작가님!!!!!!",2021-02-04,50
97,97,3101,10,"너무 맛있어서 3일만에 다먹고 또 주문했습니다^^
대박으로 맛있네요 :)",2021-02-03,50
98,98,3102,10,"아이스 아메리카노는 산미가 있는 원두보다 다크한 원두를 선호하는 편인데, 시음용으로 주문한 리스트레토는 아아에도 어울린만한 진~짜 풍미가 대단한...♥.♥ ",2021-02-03,50
99,99,3103,10,,2021-02-01,50
100,100,3104,10,"먹을거는 후기를 믿을만 한가 싶기도하고 아이디어스를 많이 이용을 안하다보니 여기서 구매를 한다는게 좀 꺼려졌지만 후기가 워낙 좋고, 시음도 할 수 있다기에 구매해봤어요. 결론은 대만족입니다!! 진짜 너무맛있어요. 단건 별로 안좋아해서 아메리카노만 마시고, 너무 진하면 두근두근 거려서 샷 반으로 줄여서 사먹었어요. 샷을 줄인다해서 저렴해지는것도 아니고ㅠㅠ돈도 아까웠구요..이건 제가 마음대로 농도 조절할 수 있고 훨씬 맛있구요!! 산미 극혐이라 혹시라도  산미가 있음 어쩌나 했는데 제입맛엔 안느껴지네요. 선물용으로 몇개 더 사야겠어요ㅠㅠ너무 맛있습니다",2021-01-30,50
101,101,3105,11,"벌써 몇 번째 구매해서 먹는지 모르겠네요~
매번 잘 먹고 있어요~^^",2021-01-27,50
102,102,3106,11,"맛도 좋고
식감도 좋아요
세번째 구매입니다.
",2021-01-19,50
103,103,3107,11,"사진 찍어둔다는 걸 깜빡하고 재재주문하려고 들어와서야 후기 안 올린 걸 알았네요 ㅠ
정기적으로 시켜먹을만큼 좋아요~^^",2021-01-19,50
104,104,3108,11,"흙맛 약간 나긴하는데 몸에 좋다고 생각하고 물 조금 넣고 헹궈서까지 싹 비웠어요ㅋㅋ
ABC주스치곤 가격도 저렴하고
집에서 재료사다 고생할 필요없이 집에서 만든 것 같은 맛을 볼 수 있어서 좋았습니다!ㅎㅎ
건더기가 많아서 든든해요😉",2021-01-16,50
105,105,3109,11,"재구매하고 또 후기 작성합니다 
맛있어서 세번째 구매하려고 합니다.",2021-01-07,50
106,106,3110,11,"구매하자마자 주위 분들에게 나눠주고나니 사진은 찍지 못했네요 ㅠ
저도 비트주스 하나 마셔봤는데 맛있었습니다!
재구매하려구요~^^",2021-01-04,50
107,107,3111,11,"건강한 맛!!
신랑이 맛있다고 더 주문하라네요ㅎ
한병마시니 배부르다고 합니다
앞으로 계속 주문할려구요~^^",2021-01-01,50
108,108,3112,11,,2020-12-29,50
109,109,3113,11,"비트주스 아침이나 퇴근 후 식사 대용으로 먹고있는데
비트의 흙맛? 같은 느낌의 맛도 잘 안나고
너무 간편하게 잘먹고 있어요
재주문하러 왔다가 리뷰 남깁니당👍",2020-12-21,50
110,110,3114,11,매일 아침마다 먹고 갑니다 건강해요 ㅎ,2020-12-10,50
111,111,3115,12,"비주얼에 놀라고 맛에 한번 더 놀라고ㅠㅠ
선물용 100x♥ , 다먹은 후 케이스로 장식도 가능!!
1석 4조 아닌가요? 최곱니다 최고",2021-02-18,50
112,112,3116,12,"커피 좋아하는 친구 생일선물로 샀어요
알록달록 여러가지 맛이라 예쁘고 여자분들 선물로 딱이네요. 쇼핑백도 세트로 너무 예뻐요.
친구가 좋아할꺼 같아요. 앞으로 많이 이용할께요~",2021-02-17,50
113,113,3117,12,남자친구가 커피 좋아해서 종류별로 하나씩 있는거 사봤어요 물론 제가 궁금해서 살짝 열어봤는데 포장도 꼼꼼히 잘 되어있고 커피병도 색이 너무 이쁘고ㅠㅠ 맛도 있대요!! 처음먹어보는 맛도 있다고 신기하다면서 좋아했어요ㅋㅋㅋㅋㅋ,2021-02-16,50
114,114,3118,12,"선물하신 분들이 다들 맛있다고 하셔서 제마음이 너무 좋네요^^
다음엔 저도 구매해보려구요 흥하세요^^",2021-02-16,50
